Название;Регион;Район;Населённый пункт;Адрес;Широта;Долгота;Телефоны;Время работы
"ГУЗ ""Ивановская областная станция переливания крови""";Ивановская область;Ивановский;Иваново;г. Иваново, ул. Парижской Коммуны, 5а;56.997231;40.955744;"(4932) 38-74-79; 38-65-15";пн-пт 8.00 - 15.00
"ГУЗ ""Иркутская областная станция переливания крови""";Иркутская область;Иркутский район;Иркутск;г. Иркутск, ул. Байкальская, 122;52.263246;104.309435;"(3952) 23-51-38; 22-45-80";пн-пт 8.30 - 14.30
"ОГУЗ ""Усть-Илимская областная станция переливания крови""";Иркутская область;Усть-Илимский район;Усть-Илимск;г. Усть-Илимск, ул. Карла Маркса, 22а;58.031474;102.817852;"(39535) 5-72-31; 5-38-61; 5-62-37";пн 8.00 - 11.30
"ОГУЗ ""Усольская областная станция переливания крови""";Иркутская область;Усольский район;Усолье-Сибирское;г. Усолье-Сибирское, ул. Шевченко, 7;52.752461;103.637810;(39543) 6-71-60;пн-чт 9.00 - 12.00
"Филиал №3 ОГУЗ ""Братская ОСПК"" Отделение заготовки крови г. Тулун";Иркутская область;Тулунский район;Тулун;г. Тулун, мкр. Угольщиков, 35а;54.561081;100.584953;(39530) 4-71-87, 47-1-46;пн-пт 9.00 - 14.00
"ОГУЗ ""Братская областная станция переливания крови""";Иркутская область;Братский район;Братск;г. Братск, ул. 40 Победы, 6;56.169659;101.591637;(3953) 42-09-25;пн-пт 8.00 - 12.00
"Отделение переливания крови (ГУЗ ""Иркутская ОСПК"")";Иркутская область;Иркутский район;Иркутск;г. Иркутск, мкр. Юбилейный, 100;52.219545;104.297118;(3952) 40-78-34;пн-пт 8.30 - 14.00
Кольчугино;Владимирская область;Кольчугинский;Кольчугино;г. Кольчугино, ул. Гагарина, 2;56.306469;39.372101;(09245) 2-38-11;пн-пт 8.00 - 16.30
"ГУЗ ""Волгоградский областной центр крови""";Волгоградская область;Волгоград городской округ;Волгоград;г. Волгоград, ул. Голубинская, 9а;48.712525;44.500408;(8442) 37-16-16;пн-пт 8.00 - 13.00
Ковров ЦГБ;Владимирская область;Ковровский;Ковров;г. Ковров. ул. Еловая, 6;56.386719;41.310871;(09232) 3-86-09;пн-пт 8.00 - 16.30
Судогда;Владимирская область;Судогдский;Судогда;г. Судогда, ул. Красная, 26;55.948792;40.853069;(09235) 2-11-74;пн-пт 8.00 - 16.30
Муром;Владимирская область;Муромский;Муром;г. Муром, ул. Войкова, 17;55.574291;42.051510;(09234) 3-17-85;пн-пт 8.00 - 16.30
Гусь-Хрустальный;Владимирская область;Гусь-Хрустальный;Гусь-Хрустальный;г. Гусь-Хрустальный, ул. Октябрьская, 39;55.616840;40.672661;(09241) 2-47-96;пн-пт 8.00 - 16.30
"ОПК МУЗ ""Люберецкая РБ №1""";Московская область;Люберецкий район;п. Красково;п. Красково, ул. Карла Маркса, 90;55.661824;37.983742;557-21-00, ОПК: 667-20-90;
"ОГУЗ ""Станция переливания крови г. Старый Оскол""";Белгородская область;Староосколский;Старый Оскол;г.Старый Оскол, ул.Ленина, 65;51.304901;37.856892;(4725) 22-16-51;пн-пт 8.00 - 11.30
"ОГУЗ ""Новооскольская станция переливания крови""";Белгородская область;Новоосколский;Новый Оскол;г. Новый Оскол, ул. Ливенская, 122;50.761471;37.869511;(47233) 4-20-63;пн-пт 9.00 - 13.00
"ОГУЗ ""Станция переливания крови г. Губкин""";Белгородская область;Губкинский;Губкин;г. Губкин, ул. Чайковского, 23;51.272080;37.575580;(47241) 5-14-55;вт,ср,пт 8.00 - 12.00
"МУЗ ""Валуйская ЦРБ""";Белгородская область;Валуйский;Валуйки;г. Валуйки, ул. Тимирязевская, 107;50.213268;38.101990;(47236) 3-32-68, 3-13-16;вт-чт 8.00 - 11.00
"ОГУЗ ""Белгородская областная станция переливания крови""";Белгородская область;Белгородский;Белгород;г. Белгород, ул. Гагарина, 11;50.596611;36.609211;(4722) 26-05-60;пн-пт 8.00 - 12.00
"МУЗ ""Алексеевская ЦРБ""";Белгородская область;Алексеевский;Алексеевка;г. Алексеевка, ул. Плеханова, 2;50.634239;38.714161;(47234) 3-17-22, 3-20-31;пн-пт  8.00 - 11.00
"МУЗ ""Енотаевская ЦРБ""";Астраханская  область;Енотаевский;с. Енотаевка;с. Енотаевка, ул. Советская, 7;47.243469;47.032741;(85143) 9-17-00;вт,чт 8.00 - 12.00
"МУ ""ЦГБ г.Знаменска""";Астраханская  область;Знаменский;Знаменск;г. Знаменск, ул. Мира, 2а;48.583333;45.750000;(85140) 2-82-42,  2-36-56;вт,чт 8.00 - 12.00
"МУЗ ""ГКБ №3 им С.М.Кирова""";Астраханская  область;Астраханский;Астрахань;г. Астрахань, ул. Хибинская, 2;46.363278;47.992744;(8512) 58-76-64;вт-пт 8.00 - 12.00
"ГУЗ ""Областная Астраханская станция переливания крови""";Астраханская  область;Астраханский;Астрахань;г. Астрахань, ул. Кубанская, 1б;46.328439;48.033428;"(8512) 34-66-90; 33-93-42";пн-пт 8.00 - 12.00
"ГУЗ ""Областной онкологический диспансер""";Астраханская  область;Астраханский;Астрахань;г. Астрахань, ул. Б. Алексеева, 57;46.360553;48.088102;(8512) 36-42-08;пн,ср,пт 8.00-12.00
Няндомский филиал;Архангельская область;Няндомский;Няндома;г. Няндома, ул. Фадеева, 2/7;61.672252;40.206549;(81838) 6-75-20;пн-пт 9.30 - 12.00
"ГУЗ ""Александро-Мариинская ОКБ""";Астраханская  область;Астраханский;Астрахань;г. Астрахань, ул. Татищева, 2;46.376425;48.054543;(8512) 25-32-61;вт-пт 8.00 - 12.00
"ГУЗ ""Вельская  станция переливания крови""";Архангельская область;Вельский;Вельск;г. Вельск, ул. Комсомольская, 2;61.066962;42.101830;(81836) 6-12-50;пн-пт 8.30 - 12.30
"ГУЗ ""Архангельская областная станция переливания крови""";Архангельская область;Приморский;Архангельск;г. Архангельск, пр. Ломоносова, 311;64.536911;40.565579;(8182) 27-57-50, 24-29-43;пн-пт 8.00-13.30
"ОГУЗ ""Амурская областная СПК""";Амурская область;Благовещенский;Благовещенск;г. Благовещенск, ул. Театральная, 29;50.274887;127.534146;(4162) 51-81-22;пн-пт 8.00 - 11.30
"ГУЗ ""Котласская станция переливания крови""";Архангельская область;Котлаский;Котлас;г. Котлас, ул. Мелентьева, 5;61.258710;46.693826;(81837) 3-22-10;пн-пт 8.00 - 12.00
"МУЗ ""ГБ №1""";Алтайский край;Барнаул;Барнаул;г. Барнаул, пр. Комсомольский, 73;53.356835;83.76192;"(3852) 66-95-21; 24-95-24";пн-пт 8.30 - 11.30
"КГУЗ ""Станция переливания крови г.Бийск""";Алтайский край;Бийский район;Бийск;г. Бийск, пер. Мартьянова, 44;52.541629;85.217142;(3854) 43-58-30, 43-58-40;пн-пт 8.00-14.00
"МУЗ ""Новоалтайская ГБ""";Алтайский край;Первомайский район;Новоалтайск;г. Новоалтайск, ул. Ударника, 12/6;53.404812;83.937736;(38532) 4-91-51, 4-71-87;пн-чт 9.00-12.00
"МУЗ ""Тальменская ЦРБ""";Алтайский край;Тальменский район;Тальменка;г. Тальменка, ул. Кирова, 68;53.811051;83.566761;(38591) 2-71-79;вт,чт 9.00 - 12.00
"МУЗ ""Благовещенская ЦРБ""";Алтайский край;Благовещенский район;р.п. Степное Озеро;р. п. Степное Озеро, ул. Мира, 2;52.78254;79.848518;(38564) 3-12-85, 3-13-79;вт 9.00 - 12.00
"МУЗ ""Алейская ЦРБ""";Алтайский край;Алейский район;Алейск;г. Алейск, ул. В. Олешко, 30;52.478452;82.756519;(38553) 2-21-87, 2-41-95;вт,чт 9.00 - 12.00
"ГУЗ ""Алтайский краевой онкологический диспансер""";Алтайский край;Барнаул;Барнаул;г. Барнаул, ул. Никитина, 77;53.356176;83.762693;(3852) 63-82-31, 63-26-20;вт, чт 9.30 - 12.30
"ГУЗ ""Алтайская краевая станция переливания крови""";Алтайский край;Барнаул;Барнаул;г. Барнаул, пр. Ленина, 197;53.357638;83.760706;(3852) 77-12-94, 77-12-78;пн–пт 8.00-14.00
